P_a,CCO,t,SaO2sup,Vmca,Pa_CO2,ii
94.42098746,-0.8718648897987914,787.2,0.9916291834,58.191446824212385,40.5034987412326,611
94.73361349,-0.8736099030267578,790.4,0.9903647564,58.43125064849702,40.4824525574756,611
95.03171177,-0.8747691017780838,793.6,0.9896146211,58.56734944935607,40.4932906940196,611
95.52472485,-0.870786531535764,796.8,0.9898987783,58.77410182028661,40.5200841805491,611
95.5845066,-0.8729102341139602,800.0,0.9902289381,58.523592446569616,40.5271460489577,611
93.91878337,-0.8910787608439412,803.2,0.9899733274,57.327916367076085,40.4869606008068,611
90.80338064,-0.9089993040945887,806.4,0.9894290305,56.30141352476627,40.4497866803838,611
88.80703137,-0.895907162756124,809.6,0.989036362,57.32958472818357,40.5172014084126,611
90.27538213,-0.8499213776962,812.8,0.9889257127,60.76928769470676,40.695348652787,611
94.80227295,-0.8041091592120538,816.0,0.9891519354,64.53148555157976,40.9073325605619,611
99.71669303,-0.7877241764220563,819.2,0.9897404881,65.76562635099828,41.1980008734081,611
102.5422669,-0.8040278215280819,822.4,0.9902947083,64.0415797933549,41.7023167758835,611
102.7959,-0.834483896425111,825.6,0.9899625169,61.60077328700008,42.3368428044308,611
101.7837936,-0.85710309260131,828.8,0.9882594985,60.403115420790776,42.7917532903216,611
100.9876893,-0.8644146109153388,832.0,0.9858905593,60.603192597578264,42.9035951554222,611
100.9672631,-0.8613533057082507,835.2,0.9843657108,61.321504820118676,42.7785481015641,611
101.5720392,-0.855001422308594,838.4,0.9846514551,61.71000717375194,42.5428734199885,611
102.1273512,-0.85445695506473,841.6,0.9863207527,61.176216377575265,42.2486236750341,611
101.4777502,-0.8675145184647803,844.8,0.9880185478,59.61954249373372,42.0068687307967,611
99.44021219,-0.8841341260185113,848.0,0.9886732422,58.23558729521296,41.9460483502183,611
97.98321266,-0.8788891282351173,851.2,0.9883240685,58.755899336824996,42.019386705524,611
98.95736202,-0.8513783021615353,854.4,0.9878703091,60.98114606756374,42.0425181508144,611
